city,country,meal_inexpensive,meal_for_2_midrange,mcmeal,domestic_beer_restaurant,imported_beer_restaurant,cappuccino,coke_pepsi_restaurant,water_restaurant,milk,bread,rice,eggs,cheese,chicken,beef,apples,banana,oranges,tomato,potato,onion,lettuce,water_market,wine,domestic_beer_market,imported_beer_market,cigarettes,one_way_ticket,monthly_pass,taxi_start,taxi_1km,taxi_1hour_waiting,gasoline,vw_golf,toyota_corolla,utilities_85m2,mobile_tariff,internet,fitness_club,tennis_court,cinema,preschool,intl_primary_school,jeans,summer_dress,nike_shoes,leather_shoes,apt_1bed_city,apt_1bed_outside,apt_3bed_city,apt_3bed_outside,price_sqm_city,price_sqm_outside,avg_salary,mortgage_rate,data_quality
Leverkusen,Germany,10.54,52.69,8.32,3.69,3.16,2.42,1.98,1.45,0.89,1.4,1.58,2.0,12.07,5.37,10.89,2.32,1.68,1.96,0.94,0.73,0.94,1.09,0.62,3.69,0.74,1.05,7.59,3.16,84.3,5.06,2.0,27.82,2.32,26343.63,24236.14,214.76,0.09,31.35,24.59,,12.64,93.78,,57.96,42.15,84.3,126.45,,843.0,1580.62,1264.49,5268.73,4214.98,2107.49,1.73,0
Solingen,Germany,10.54,57.96,9.48,4.06,4.21,2.99,2.85,2.56,1.1,2.33,2.02,3.06,13.59,8.22,9.47,2.45,1.73,2.23,1.47,1.36,0.97,1.36,0.62,6.32,0.65,1.42,7.9,3.06,83.72,5.06,1.95,27.82,2.26,24763.01,23656.58,217.42,0.12,29.31,35.83,,12.64,252.9,8956.83,109.14,39.14,84.77,109.89,421.5,368.81,843.0,737.62,3161.24,2107.49,2212.86,1.88,0
Darmstadt,Germany,20.55,57.96,8.43,4.21,4.21,3.49,2.98,2.54,1.47,3.72,2.69,3.45,26.27,8.23,20.72,3.35,1.92,2.63,0.83,2.77,1.38,1.6,0.95,5.27,0.57,1.92,7.06,2.82,68.49,3.69,2.11,34.77,2.27,42149.81,36881.08,231.46,0.13,38.05,41.27,,11.59,526.87,12644.94,84.83,38.64,89.57,107.22,994.47,690.79,1779.51,1369.87,5532.16,3933.98,3115.57,2.35,1
Heidelberg,Germany,15.81,60.59,10.54,4.21,3.48,3.19,2.58,2.21,1.12,2.26,2.33,2.84,10.22,7.63,14.45,2.93,1.77,2.18,1.3,1.51,0.96,1.74,0.59,5.8,0.58,2.24,7.59,2.92,84.3,3.16,2.85,31.61,2.22,25816.76,27660.81,287.93,0.09,39.32,45.55,22.66,14.75,453.11,20021.16,92.73,30.3,99.35,121.18,1027.4,735.71,1859.86,1396.21,7376.22,5163.35,3114.4,1.19,1
Neuss,Germany,10.54,36.88,7.9,4.06,3.69,2.7,2.63,2.37,1.05,1.13,2.02,3.41,10.74,6.81,9.47,2.35,1.67,1.32,1.28,1.13,0.2,0.98,0.33,5.26,0.65,0.9,7.59,3.16,100.11,2.9,1.96,41.1,2.03,21074.9,20021.16,269.06,0.08,29.31,29.86,26.34,10.54,142.26,8956.83,68.49,31.61,79.03,83.91,684.93,605.9,1264.49,948.37,4002.12,4002.12,2276.09,3.0,0
Regensburg,Germany,12.64,44.78,8.43,3.9,3.95,3.64,2.63,2.28,1.06,1.63,2.05,2.37,9.96,7.21,8.69,2.46,1.68,2.23,1.35,2.32,1.33,1.4,0.34,5.8,0.56,1.36,7.38,2.63,54.27,4.48,1.9,27.19,2.31,24550.68,,148.84,0.18,41.8,44.78,28.03,12.64,526.87,7586.97,63.75,51.28,75.52,94.39,1001.06,737.62,1580.62,843.0,7376.22,5268.73,2704.61,,1
Paderborn,Germany,11.59,84.3,7.9,3.69,2.9,3.03,2.54,2.24,0.93,2.46,2.24,3.04,19.71,8.13,21.07,2.71,1.61,2.27,2.15,2.28,1.15,2.11,0.8,5.27,0.56,2.04,7.38,2.85,63.38,3.69,2.85,29.72,2.31,26870.5,29856.11,273.1,0.21,39.52,50.93,19.32,12.12,263.44,7586.97,124.69,45.31,120.83,112.05,553.22,526.87,1238.15,1024.77,4741.85,5005.29,2423.61,2.56,1
Ingolstadt,Germany,11.59,63.22,10.54,4.48,5.27,3.5,2.46,2.3,1.0,2.83,2.06,2.92,15.6,9.33,16.86,2.63,1.68,1.97,0.83,2.74,0.98,0.95,0.87,5.27,0.69,1.18,8.43,2.85,61.64,3.37,2.34,31.61,2.32,21794.09,26691.37,230.8,0.09,47.42,63.22,19.32,13.7,324.9,21074.9,87.81,45.66,74.82,80.79,807.87,737.27,1551.11,1264.23,7446.47,6217.1,3082.2,2.17,1
Wurzburg,Germany,11.58,52.69,8.95,3.69,3.16,2.82,2.11,1.96,1.08,1.85,1.94,2.53,12.75,7.29,14.05,2.46,1.72,2.13,1.15,2.11,1.26,1.76,0.73,5.27,0.78,1.37,7.38,2.95,60.85,4.74,2.27,28.45,2.27,40042.32,42149.81,297.58,0.09,33.87,28.08,34.25,10.8,117.67,10537.45,84.3,31.61,81.67,120.65,667.37,577.63,1132.78,992.28,4712.35,4185.48,2186.52,3.57,1
Ulm,Germany,12.64,57.96,8.96,4.06,3.69,3.42,3.16,2.4,1.13,2.63,2.29,2.71,13.07,9.96,9.48,2.49,1.68,2.1,0.86,1.21,0.94,0.95,0.45,5.26,0.61,1.52,7.48,2.63,65.33,2.9,3.37,25.29,2.27,27397.38,39515.45,249.39,0.09,35.3,49.17,13.7,8.96,491.75,9873.59,108.89,35.56,77.71,108.01,974.71,816.65,1448.9,1159.12,5532.16,4214.98,3279.78,2.12,1
